Título,Precio,Dirección,URL,Metros cuadrados,Recámaras,Baños
"Casa en venta en Veracruz Fracc Lomas del mediterráneo #265Int. 265, Col. Las Lomas Residencial, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29532330","$2,400,000 MXN","Casa en venta en Veracruz Fracc Lomas del mediterráneo  #265Int. 265, Col. Las Lomas Residencial",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-del-mediterraneo-265-las-lomas-residencial-veracruz-29532330#pagina=3&tipos=casas-venta&area=veracruz&pos=47,112,2,2
"Casa en venta Veracruz Fracc Lomas del Dorado Boca del Río #264Int. 297, Col. Boca del Río Centro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 29349463","$4,490,000 MXN","Casa en venta Veracruz Fracc Lomas del Dorado Boca del Río #264Int. 297, Col. Boca del Río Centro",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-veracruz-fracc-lomas-del-dorado-boca-del-rio-264-boca-del-rio-centro-veracruz-29349463#pagina=4&tipos=casas-venta&area=veracruz&pos=1,268,3,3
"Casa en venta en Veracruz Fracc Flores del Valle Veracruz #264Int. 167, Col. Flores Del Valle, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91948, ID: 29412710","$2,400,000 MXN","Casa en venta en Veracruz Fracc Flores del Valle Veracruz  #264Int. 167, Col. Flores Del Valle",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-flores-del-valle-veracruz-264-flores-del-valle-veracruz-29412710#pagina=4&tipos=casas-venta&area=veracruz&pos=2,136,3,2
"Casa en venta en Veracruz sobre AV Cuauhtémoc #164Int. 264, Col. Los Pinos, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91870, ID: 29052229","$2,950,000 MXN","Casa en venta en Veracruz sobre AV Cuauhtémoc  #164Int. 264, Col. Los Pinos",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-sobre-av-cuauhtemoc-164-los-pinos-veracruz-29052229#pagina=4&tipos=casas-venta&area=veracruz&pos=3,380,3,3
"Casa en venta en Veracruz Fracc Lomas del Sol #559Int. 179, Col. Lomas del Sol, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29429841","$3,950,000 MXN","Casa en venta en Veracruz Fracc Lomas del Sol  #559Int. 179, Col. Lomas del Sol",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-del-sol-559-lomas-del-sol-veracruz-29429841#pagina=4&tipos=casas-venta&area=veracruz&pos=4,220,3,4
"Casa en venta en Veracruz Fracc Tampiquera Boca del Río Ver #249Int. 165, Col. La Tampiquera, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 29211788","$2,800,000 MXN","Casa en venta en Veracruz Fracc Tampiquera Boca del Río Ver  #249Int. 165, Col. La Tampiquera",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-tampiquera-boca-del-rio-ver-249-la-tampiquera-veracruz-29211788#pagina=4&tipos=casas-venta&area=veracruz&pos=5,142,3,2
"Casa en venta en Veracruz Fracc Las Palmas Medellín #265Int. 164, Col. Las Palmas, Medellín de Bravo, Veracruz de Ignacio de la Llave, México, C.P. 94274, ID: 29728901","$6,350,000 MXN","Casa en venta en Veracruz Fracc Las Palmas Medellín  #265Int. 164, Col. Las Palmas",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-las-palmas-medellin-265-las-palmas-veracruz-29728901#pagina=4&tipos=casas-venta&area=veracruz&pos=7,289,4,4
"Casa en venta en Veracruz en Fracc Lomas del Dorado #164Int. 349, Col. Boca del Río Centro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 29063477","$4,100,000 MXN","Casa en venta en Veracruz en Fracc Lomas del Dorado  #164Int. 349, Col. Boca del Río Centro",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-en-fracc-lomas-del-dorado-164-boca-del-rio-centro-veracruz-29063477#pagina=4&tipos=casas-venta&area=veracruz&pos=8,213,3,2
"Casa en venta en Veracruz en Fracc Punta Tiburón #614Int. 917, Col. Punta Tiburón, Residencial, Marina y Golf, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29341810","$5,950,000 MXN","Casa en venta en Veracruz en Fracc Punta Tiburón  #614Int. 917, Col. Punta Tiburón, Residencial, Marina y Golf",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-en-fracc-punta-tiburon-614-punta-tiburon-residencial-marina-y-golf-veracruz-29341810#pagina=4&tipos=casas-venta&area=veracruz&pos=9,253,3,5
"Casa en venta en Veracruz Fracc Punta Tiburón #264Int. 927, Col. Punta Tiburón, Residencial, Marina y Golf, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29440103","$7,890,000 MXN","Casa en venta en Veracruz Fracc Punta Tiburón  #264Int. 927, Col. Punta Tiburón, Residencial, Marina y Golf",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-punta-tiburon-264-punta-tiburon-residencial-marina-y-golf-veracruz-29440103#pagina=4&tipos=casas-venta&area=veracruz&pos=10,325,3,5
"Casa en venta en Veracruz con Hab en PB en Fracc Las Palmas #264Int. 948, Col. Las Palmas, Medellín de Bravo, Veracruz de Ignacio de la Llave, México, C.P. 94274, ID: 29469931","$5,190,000 MXN","Casa en venta en Veracruz con Hab en PB en Fracc Las Palmas  #264Int. 948, Col. Las Palmas",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-con-hab-en-pb-en-fracc-las-palmas-264-las-palmas-veracruz-29469931#pagina=4&tipos=casas-venta&area=veracruz&pos=11,275,3,3
"Casa en venta en Veracruz en Loc La Aguada Alvarado #265Int. 194, Col. Mandinga y Matoza, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 29087013","$1,450,000 MXN","Casa en venta en Veracruz en Loc La Aguada Alvarado  #265Int. 194, Col. Mandinga y Matoza",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-en-loc-la-aguada-alvarado-265-mandinga-y-matoza-veracruz-29087013#pagina=4&tipos=casas-venta&area=veracruz&pos=12,76,2,1
"Casa en venta en Veracruz Las Hiigueras #164Int. 264, Col. Lomas del Sol, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29072972","$3,190,000 MXN","Casa en venta en Veracruz Las Hiigueras  #164Int. 264, Col. Lomas del Sol",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-las-hiigueras-164-lomas-del-sol-veracruz-29072972#pagina=4&tipos=casas-venta&area=veracruz&pos=13,145,3,3
"Casa en venta en Veracruz en Floresta con jardín y alberca #167Int. 165, Col. Floresta, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91940, ID: 29211760","$3,990,000 MXN","Casa en venta en Veracruz en Floresta con jardín y alberca  #167Int. 165, Col. Floresta",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-en-floresta-con-jardin-y-alberca-167-floresta-veracruz-29211760#pagina=4&tipos=casas-venta&area=veracruz&pos=14,325,4,3
"Casa en venta en Veracruz Fracc Lomas de la Rioja #649Int. 164, Col. Lomas de la Rioja, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 29385286","$3,500,000 MXN","Casa en venta en Veracruz Fracc Lomas de la Rioja  #649Int. 164, Col. Lomas de la Rioja",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-de-la-rioja-649-lomas-de-la-rioja-veracruz-29385286#pagina=4&tipos=casas-venta&area=veracruz&pos=15,257,3,3
"Casa en venta en Veracruz Fracc Playas del Conchal #168Int. 249, Col. Playas de Conchal, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29413136","$4,769,000 MXN","Casa en venta en Veracruz Fracc Playas del Conchal  #168Int. 249, Col. Playas de Conchal",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-playas-del-conchal-168-playas-de-conchal-veracruz-29413136#pagina=4&tipos=casas-venta&area=veracruz&pos=16,235,3,3
"Casa en preventa en Veracruz Fracc Lomas del Mediterráneo #29Int. 268, Col. Las Lomas Residencial, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29389972","$2,890,000 MXN","Casa en preventa en Veracruz Fracc Lomas del Mediterráneo  #29Int. 268, Col. Las Lomas Residencial",https://propiedades.com/inmuebles/casa-en-venta-casa-en-preventa-en-veracruz-fracc-lomas-del-mediterraneo-29-las-lomas-residencial-veracruz-29389972#pagina=4&tipos=casas-venta&area=veracruz&pos=17,150,3,2
"ORTIZ RUBIO #ND, Col. Pascual Ortiz Rubio, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91750, ID: 29797999","$2,500,000 MXN","ORTIZ RUBIO #ND, Col. Pascual Ortiz Rubio",https://propiedades.com/inmuebles/casa-en-venta-ortiz-rubio-nd-pascual-ortiz-rubio-veracruz-29797999#pagina=4&tipos=casas-venta&area=veracruz&pos=18,300,5,3
"Casa en venta en Veracruz Fracc Lomas del Dorado #265Int. 164, Col. Boca del Río Centro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 29040019","$4,050,000 MXN","Casa en venta en Veracruz Fracc Lomas del Dorado  #265Int. 164, Col. Boca del Río Centro",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-del-dorado-265-boca-del-rio-centro-veracruz-29040019#pagina=4&tipos=casas-venta&area=veracruz&pos=20,200,3,3
"Casa en venta en Fracc Lomas del Dorado Boca del Río #269Int. 197, Col. Boca del Río Centro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 29521344","$4,050,000 MXN","Casa en venta en Fracc Lomas del Dorado Boca del Río  #269Int. 197, Col. Boca del Río Centro",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-fracc-lomas-del-dorado-boca-del-rio-269-boca-del-rio-centro-veracruz-29521344#pagina=4&tipos=casas-venta&area=veracruz&pos=21,210,3,3
"Casa en venta en Veracruz Fracc punta Tiburón #591Int. 349, Col. Punta Tiburón, Residencial, Marina y Golf, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29440187","$6,500,000 MXN","Casa en venta en Veracruz Fracc punta Tiburón  #591Int. 349, Col. Punta Tiburón, Residencial, Marina y Golf",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-punta-tiburon-591-punta-tiburon-residencial-marina-y-golf-veracruz-29440187#pagina=4&tipos=casas-venta&area=veracruz&pos=24,260,3,4
"CUMBRES RESIDENCIAL #ND, Col. Cumbres Residencial, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94286, ID: 29087190","$2,705,250 MXN","CUMBRES RESIDENCIAL #ND, Col. Cumbres Residencial",https://propiedades.com/inmuebles/casa-en-venta-cumbres-residencial-nd-cumbres-residencial-veracruz-29087190#pagina=4&tipos=casas-venta&area=veracruz&pos=25,190,3,2
"Casa en venta en Veracruz Fracc Punta Tiburón #947Int. 316, Col. Punta Tiburón, Residencial, Marina y Golf, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29350110","$6,395,000 MXN","Casa en venta en Veracruz Fracc Punta Tiburón  #947Int. 316, Col. Punta Tiburón, Residencial, Marina y Golf",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-punta-tiburon-947-punta-tiburon-residencial-marina-y-golf-veracruz-29350110#pagina=4&tipos=casas-venta&area=veracruz&pos=26,270,3,4
"Casa en venta en Veracruz Fracc Lomas de la Rioja #164Int. 248, Col. Lomas de la Rioja, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 29270800","$3,350,000 MXN","Casa en venta en Veracruz Fracc Lomas de la Rioja   #164Int. 248, Col. Lomas de la Rioja",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-de-la-rioja--164-lomas-de-la-rioja-veracruz-29270800#pagina=4&tipos=casas-venta&area=veracruz&pos=27,220,3,3
"Casa en venta en Veracruz Fracc Río del Dorado #149Int. 268, Col. Boca del Río Centro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 29353272","$5,650,000 MXN","Casa en venta en Veracruz Fracc Río del Dorado  #149Int. 268, Col. Boca del Río Centro",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-rio-del-dorado-149-boca-del-rio-centro-veracruz-29353272#pagina=4&tipos=casas-venta&area=veracruz&pos=28,230,4,5
"Casa en venta en Veracruz Fracc Río del Dorado #165Int. 268, Col. Boca del Río Centro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 29234847","$5,650,000 MXN","Casa en venta en Veracruz Fracc Río del Dorado  #165Int. 268, Col. Boca del Río Centro",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-rio-del-dorado-165-boca-del-rio-centro-veracruz-29234847#pagina=4&tipos=casas-venta&area=veracruz&pos=31,230,4,4
"Casa en venta en Veracruz Fracc Lomas de la Rioja #294Int. 165, Col. Lomas de la Rioja, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 29211704","$2,850,000 MXN","Casa en venta en Veracruz Fracc Lomas de la Rioja  #294Int. 165, Col. Lomas de la Rioja",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-de-la-rioja-294-lomas-de-la-rioja-veracruz-29211704#pagina=4&tipos=casas-venta&area=veracruz&pos=33,152,3,2
"Casa en venta en Veracruz con Hab PB en Col El Morro #264Int. 198, Col. El Morro las Colonias, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94293, ID: 29445808","$3,150,000 MXN","Casa en venta en Veracruz con Hab PB en Col El Morro  #264Int. 198, Col. El Morro las Colonias",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-con-hab-pb-en-col-el-morro-264-el-morro-las-colonias-veracruz-29445808#pagina=4&tipos=casas-venta&area=veracruz&pos=36,183,3,3
"Casa en venta Veracruz de un nivel Fracc Lomas de la Rioja #264Int. 917, Col. Lomas de la Rioja, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 29480586","$2,750,000 MXN","Casa en venta Veracruz de un nivel Fracc Lomas de la Rioja #264Int. 917, Col. Lomas de la Rioja",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-veracruz-de-un-nivel-fracc-lomas-de-la-rioja-264-lomas-de-la-rioja-veracruz-29480586#pagina=4&tipos=casas-venta&area=veracruz&pos=37,165,3,2
"Casa en venta en Veracruz Col Infonavit Buena Vista #265Int. 164, Col. Buenavista INFONAVIT, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91850, ID: 29216347","$1,245,000 MXN","Casa en venta en Veracruz Col Infonavit Buena Vista  #265Int. 164, Col. Buenavista INFONAVIT",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-col-infonavit-buena-vista-265-buenavista-infonavit-veracruz-29216347#pagina=4&tipos=casas-venta&area=veracruz&pos=40,115,3,2
"VIRGINIA #ND, Col. Virginia, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94294, ID: 29087170","$2,690,000 MXN","VIRGINIA #ND, Col. Virginia",https://propiedades.com/inmuebles/casa-en-venta-virginia-nd-virginia-veracruz-29087170#pagina=4&tipos=casas-venta&area=veracruz&pos=41,98,2,1
"Casa en venta en Veracruz Fracc Lomas Residencial #948Int. 294, Col. Las Lomas Residencial, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29440303","$3,100,000 MXN","Casa en venta en Veracruz Fracc Lomas Residencial  #948Int. 294, Col. Las Lomas Residencial",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-residencial-948-las-lomas-residencial-veracruz-29440303#pagina=4&tipos=casas-venta&area=veracruz&pos=42,240,3,2
"Tepetapan, Col. Tepetapan, Catemaco, Veracruz de Ignacio de la Llave, México, C.P. 95870, ID: 29980908","$1,390,149 MXN","Tepetapan, Col. Tepetapan",https://propiedades.com/inmuebles/casa-en-venta-tepetapan-tepetapan-veracruz-29980908#pagina=4&tipos=casas-venta&area=veracruz&pos=43,170,3,1
"x, Col. Panuco Centro, Pánuco, Veracruz de Ignacio de la Llave, México, C.P. 93990, ID: 29773359","$5,500,000 MXN","x, Col. Panuco Centro",https://propiedades.com/inmuebles/casa-en-venta-x-panuco-centro-veracruz-29773359#pagina=4&tipos=casas-venta&area=veracruz&pos=44,551,1,1
"Heroísmo #s/n, Col. Miguel Hidalgo, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91712, ID: 29920122","$1,489,000 MXN","Heroísmo #s/n, Col. Miguel Hidalgo",https://propiedades.com/inmuebles/casa-en-venta-heroismo-sn-miguel-hidalgo-veracruz-29920122#pagina=4&tipos=casas-venta&area=veracruz&pos=45,274,5,3
"Casa en venta en Veracruz Fracc Lomas del Dorado #294Int. 164, Col. Lomas del Dorado, Ixhuatlán de Madero, Veracruz de Ignacio de la Llave, México, C.P. 92686, ID: 29881727","$5,600,000 MXN","Casa en venta en Veracruz Fracc Lomas del Dorado  #294Int. 164, Col. Lomas del Dorado",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-del-dorado-294-lomas-del-dorado-veracruz-29881727#pagina=4&tipos=casas-venta&area=veracruz&pos=46,250,4,4
"Puebla #s/n, Col. 1° de Mayo, Nanchital de Lázaro Cárdenas del Río, Veracruz de Ignacio de la Llave, México, C.P. 96360, ID: 29919668","$2,294,000 MXN","Puebla #s/n, Col. 1° de Mayo",https://propiedades.com/inmuebles/casa-en-venta-puebla-sn-1-de-mayo-veracruz-29919668#pagina=4&tipos=casas-venta&area=veracruz&pos=47,300,5,3
"EL ROSARIO #s/n, Col. El Rosario, Fortín, Veracruz de Ignacio de la Llave, México, C.P. 94476, ID: 29962284","$1,950,000 MXN","EL ROSARIO #s/n, Col. El Rosario",https://propiedades.com/inmuebles/casa-en-venta-el-rosario-sn-el-rosario-veracruz-29962284#pagina=5&tipos=casas-venta&area=veracruz&pos=1,192,3,1
"Avenida Ursulo Galvan 12 #12, Col. El Ciruelo, La Antigua, Veracruz de Ignacio de la Llave, México, C.P. 91685, ID: 29390941","$1,033,000 MXN","Avenida Ursulo Galvan 12 #12, Col. El Ciruelo",https://propiedades.com/inmuebles/casa-en-venta-avenida-ursulo-galvan-12-12-el-ciruelo-veracruz-29390941#pagina=5&tipos=casas-venta&area=veracruz&pos=2,226,3,2
"GARGOLA #s/n, Col. Costa Dorada, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91808, ID: 30043840","$755,000 MXN","GARGOLA #s/n, Col. Costa Dorada",https://propiedades.com/inmuebles/casa-en-venta-gargola-sn-costa-dorada-veracruz-30043840#pagina=5&tipos=casas-venta&area=veracruz&pos=4,60,1,1
"Casa en venta en Veracruz en Fracc Lomas Diamante #165Int. 265, Col. Lomas Diamante, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29052123","$4,350,000 MXN","Casa en venta en Veracruz en Fracc Lomas Diamante  #165Int. 265, Col. Lomas Diamante",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-en-fracc-lomas-diamante-165-lomas-diamante-veracruz-29052123#pagina=5&tipos=casas-venta&area=veracruz&pos=5,213,3,3
"Casa en venta en Veracruz Col Lomas del Mar #259Int. 267, Col. Lomas Del Mar, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94293, ID: 29412846","$3,180,000 MXN","Casa en venta en Veracruz Col Lomas del Mar  #259Int. 267, Col. Lomas Del Mar",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-col-lomas-del-mar-259-lomas-del-mar-veracruz-29412846#pagina=5&tipos=casas-venta&area=veracruz&pos=6,152,3,2
"24 DE FEBRERO #118, Col. El Recuerdo, Catemaco, Veracruz de Ignacio de la Llave, México, C.P. 95870, ID: 30077340","$971,028 MXN","24 DE FEBRERO #118, Col. El Recuerdo",https://propiedades.com/inmuebles/casa-en-venta-24-de-febrero-118-el-recuerdo-veracruz-30077340#pagina=5&tipos=casas-venta&area=veracruz&pos=8,81,2,1
"LUZ NAVA #95, Col. Ignacio Zaragoza, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91910, ID: 30048409","$1,365,000 MXN","LUZ NAVA #95, Col. Ignacio Zaragoza",https://propiedades.com/inmuebles/casa-en-venta-luz-nava-95-ignacio-zaragoza-veracruz-30048409#pagina=5&tipos=casas-venta&area=veracruz&pos=9,80,2,1
"Tamaulipas #x, Col. Lindavista, Pueblo Viejo, Veracruz de Ignacio de la Llave, México, C.P. 92037, ID: 29423084","$1,400,000 MXN","Tamaulipas #x, Col. Lindavista",https://propiedades.com/inmuebles/casa-en-venta-tamaulipas-x-lindavista-veracruz-29423084#pagina=5&tipos=casas-venta&area=veracruz&pos=10,201,3,2
"Hortensia #s/n, Col. Rancho Alegre I, Coatzacoalcos, Veracruz de Ignacio de la Llave, México, C.P. 96558, ID: 29823349","$1,100,000 MXN","Hortensia #s/n, Col. Rancho Alegre I",https://propiedades.com/inmuebles/casa-en-venta-hortensia-sn-rancho-alegre-i-veracruz-29823349#pagina=5&tipos=casas-venta&area=veracruz&pos=12,49,2,1
"Jose Vasconcelos, Col. Luis Donaldo Colosio, Xalapa, Veracruz de Ignacio de la Llave, México, C.P. 91016, ID: 27753356","$1,280,000 MXN","Jose Vasconcelos, Col. Luis Donaldo Colosio",https://propiedades.com/inmuebles/casa-en-venta-jose-vasconcelos-luis-donaldo-colosio-veracruz-27753356#pagina=5&tipos=casas-venta&area=veracruz&pos=13,No disponible,No disponible,No disponible
"AV NETZAHUALCOYOTL #s/n, Col. Ignacio Zaragoza, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91910, ID: 30048401","$1,688,000 MXN","AV NETZAHUALCOYOTL #s/n, Col. Ignacio Zaragoza",https://propiedades.com/inmuebles/casa-en-venta-av-netzahualcoyotl-sn-ignacio-zaragoza-veracruz-30048401#pagina=5&tipos=casas-venta&area=veracruz&pos=14,100,2,1
"Avenida Río Era 498 #498, Col. Lomas de Rio Medio III, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91809, ID: 29733009","$850,000 MXN","Avenida Río Era 498 #498, Col. Lomas de Rio Medio III",https://propiedades.com/inmuebles/casa-en-venta-avenida-rio-era-498-498-lomas-de-rio-medio-iii-veracruz-29733009#pagina=5&tipos=casas-venta&area=veracruz&pos=17,92,2,1
"Coyolxauqui, Col. Siglo XXI, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91777, ID: 28160179","$970,000 MXN","Coyolxauqui, Col. Siglo XXI",https://propiedades.com/inmuebles/casa-en-venta-coyolxauqui-siglo-xxi-veracruz-28160179#pagina=5&tipos=casas-venta&area=veracruz&pos=19,90,2,1
"Independencia, Río Blanco, Veracruz de Ignacio de la Llave, México, C.P. 94734, ID: 25936708","$4,200,000 MXN",Independencia,https://propiedades.com/inmuebles/casa-en-venta-independencia-felipe-carrillo-puerto-veracruz-25936708#pagina=5&tipos=casas-venta&area=veracruz&pos=21,260,5,3
"Casa en venta en Veracruz Fracc cerca al Aeropuerto #Km 13.5Int. 697 , Col. Aeropuerto, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91726, ID: 28197431","$1,891,000 MXN","Casa en venta en Veracruz Fracc cerca al Aeropuerto  #Km 13.5Int. 697 , Col. Aeropuerto",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-cerca-al-aeropuerto-km-135-aeropuerto-veracruz-28197431#pagina=5&tipos=casas-venta&area=veracruz&pos=22,95,3,2
"Prolongación Avenida 7 #529, Col. Raquet Club, Fortín, Veracruz de Ignacio de la Llave, México, C.P. 94473, ID: 29488851","$3,450,000 MXN","Prolongación Avenida 7 #529, Col. Raquet Club",https://propiedades.com/inmuebles/casa-en-venta-prolongacion-avenida-7-529-raquet-club-veracruz-29488851#pagina=5&tipos=casas-venta&area=veracruz&pos=23,451,3,3
"ANDADOR ALAMO, Col. 27 de Mayo, Orizaba, Veracruz de Ignacio de la Llave, México, C.P. 94328, ID: 29114098","$1,500,000 MXN","ANDADOR ALAMO, Col. 27 de Mayo",https://propiedades.com/inmuebles/casa-en-venta-andador-alamo-27-de-mayo-veracruz-29114098#pagina=5&tipos=casas-venta&area=veracruz&pos=24,76,2,2
"Av.Lazaro Cárdenas #s/n, Col. Coatzacoalcos Centro, Coatzacoalcos, Veracruz de Ignacio de la Llave, México, C.P. 96400, ID: 29733075","$4,800,000 MXN","Av.Lazaro Cárdenas #s/n, Col. Coatzacoalcos Centro",https://propiedades.com/inmuebles/casa-en-venta-avlazaro-cardenas-sn-coatzacoalcos-centro-veracruz-29733075#pagina=5&tipos=casas-venta&area=veracruz&pos=25,498,3,3
"10 #503, Col. Lindavista, Fortín, Veracruz de Ignacio de la Llave, México, C.P. 94475, ID: 28375356","$1,390,000 MXN","10 #503, Col. Lindavista",https://propiedades.com/inmuebles/casa-en-venta-10-503-lindavista-veracruz-28375356#pagina=5&tipos=casas-venta&area=veracruz&pos=26,139,3,2
"Arista, Col. Faros, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91709, ID: 28796921","$8,000,000 MXN","Arista, Col. Faros",https://propiedades.com/inmuebles/casa-en-venta-arista-faros-veracruz-28796921#pagina=5&tipos=casas-venta&area=veracruz&pos=27,580,4,4
"A Xico, Col. San José, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91584, ID: 27045608","$1,880,000 MXN","A Xico, Col. San José",https://propiedades.com/inmuebles/casa-en-venta-a-xico-san-jose-veracruz-27045608#pagina=5&tipos=casas-venta&area=veracruz&pos=28,110,2,2
"Lote 1 Manzana 6 Colonia Las Gardenias, Col. Las Gardenias, Amatlán de los Reyes, Veracruz de Ignacio de la Llave, México, C.P. 94946, ID: 27823773","$1,650,000 MXN","Lote 1 Manzana 6 Colonia Las Gardenias, Col. Las Gardenias",https://propiedades.com/inmuebles/casa-en-venta-lote-1-manzana-6-colonia-las-gardenias-las-gardenias-veracruz-27823773#pagina=5&tipos=casas-venta&area=veracruz&pos=29,No disponible,No disponible,No disponible
"Calle LunaInt. 60, Col. Las Fuentes, Xalapa, Veracruz de Ignacio de la Llave, México, C.P. 91098, ID: 28850235","$2,200,000 MXN","Calle LunaInt. 60, Col. Las Fuentes",https://propiedades.com/inmuebles/casa-en-venta-calle-luna-las-fuentes-veracruz-28850235#pagina=5&tipos=casas-venta&area=veracruz&pos=32,175,3,2
"VENTA CASA EN FRACC VISTA BELLA calle Amanecer #107, Col. Lomas Diamante, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 28903351","$7,250,000 MXN","VENTA CASA EN FRACC VISTA BELLA  calle Amanecer #107, Col. Lomas Diamante",https://propiedades.com/inmuebles/casa-en-venta-venta-casa-en-fracc-vista-bella-calle-amanecer-107-lomas-diamante-veracruz-28903351#pagina=5&tipos=casas-venta&area=veracruz&pos=33,402,3,3
